id,dishName,restaurantID,course,diet,price
43,Sugar Cured Ham,297,Canadian Food,Vegetarian,270
44,Port wine cobbler,542,Algerian Food,Vegetarian,430
45,Veranda Delight Cocktail,465,Tahitian Food,Vegetarian,340
46,Peas Tyrolienne,394,Italian Food,Vegetarian,380
47,"Goldbarschfilet gebraten, Mayonaissensalat",453,Scottish Food,Non-Vegetarian,610
48,Don-Julio Custard with Sabayon Chocolate,621,Algerian Food,Non-Vegetarian,430
49,Gespickter Lendenbraten,284,Haitian Food,Non-Vegetarian,230
50,Cheese from the Trolley - 2/6 extra,604,Brazilian Food,Vegetarian,190
51,Nanteser Karotten Frischer Spinat Sauerkraut,380,Mormon Food,Non-Vegetarian,440
52,"Buffalo Mozzarella with vine ripened tomatoes, fresh basil and olive oil",522,Welsh Food,Non-Vegetarian,580
53,"Fromages frais et affines, Pain Grenoblois",504,Portuguese Food,Non-Vegetarian,780
54,雞炒麵,333,Kenyan Food,Vegetarian,210
55,Pork Beans,576,Tibetan Food,Non-Vegetarian,700
56,Chocolate Fruit Glace,186,Polish Food,Vegetarian,220
57,"Hot-house Cucumbers, Special Dressing",449,Irish Food,Non-Vegetarian,430
58,Eggs in cocotte (shepher's maid),135,German Food,Vegetarian,230
59,"Dark Beer, Stein",374,Belgian Foods,Vegetarian,320
60,Dauphine Salad,198,Hawaiian Food,Non-Vegetarian,120
61,"STEAK DIANE -- Fittingly named after the incomparable Goddess of the Chase, a prime cut of Sirloin is seared and sautéed in butter in close union with Shallots, Chives and Mushrooms. Aflame with Brandy. Served with a Baked Idaho Potato.",112,Cajun Food,Vegetarian,570
62,Gretchen Grant Shortbread,139,Belgian Foods,Vegetarian,420
63,Holland Gouda,134,Egyptian Food,Non-Vegetarian,360
64,"Larose, Brandenburg Freres",158,Tibetan Food,Vegetarian,400
65,"Breast of Golden Pheasant, Monte Carlo",131,Cajun Food,Non-Vegetarian,700
66,Scaloppina di tacchino fritta,78,Brazilian Food,Non-Vegetarian,540
67,Steinhager Schlichte,679,Portuguese Food,Vegetarian,680
68,"Chocolate, Vanilla or Egg Nog Ice Cream",252,Irish Food,Non-Vegetarian,370
69,Orange-Cake,10,Welsh Food,Vegetarian,440
70,Ripe and Green Jumbo Olives,617,Jewish Food,Vegetarian,210
71,"Tea to Order, English Breakfast in pots",664,Cajun Food,Vegetarian,710
72,"VIENNA BREAD, OR TEA BISCUITS BUTTER & POTATOES SERVED FREE WITH MEAT OR FISH ORDERS.  NO ORDER SERVED FOR LESS THAN 25C. TO EACH PERSON",530,Nigerian Food,Non-Vegetarian,500
73,"Caviar frais de Russie, 50 g",687,Tahitian Food,Vegetarian,480
74,"Junge Entenbrust mit Orangenfilets ""Bigarade"", Kartoffelkroketten",213,Italian Food,Non-Vegetarian,300
75,Potage du Czar,502,Scottish Food,Vegetarian,660
76,"Château Pichon-Longueville, 1896",509,Kenyan Food,Non-Vegetarian,280
77,"Oelsner's pilsner beer on draft, glass",433,Nigerian Food,Non-Vegetarian,350
78,"Reception- Lillet Blanc - Zest d'Orange (LEE-lay Blahn)- A fine aperitif from Bordeaux with a tantalizing, slightly astringent flavour and aroma. On the rocks with an orange peel twisted over a flame.",548,Mormon Food,Vegetarian,730
79,Cresta Blanca Riesling,147,Welsh Food,Vegetarian,570
80,Coppa Enrico IV,652,Indian Food,Non-Vegetarian,580
81,"Brolio, Red (Imp.)",581,Canadian Food,Non-Vegetarian,270
82,241 - Sauternes,682,Spanish Food,Non-Vegetarian,570
83,"Hochheimer, Selected and Imported by GEO. P. HERDLING",506,Mexican Food,Non-Vegetarian,620
84,Marinerede Muslinger,187,Thai Food,Vegetarian,220
85,Blackberry Cake,134,Chinese Food,Vegetarian,170
86,Prosiutti Ham,736,Latvian Food,Non-Vegetarian,670
87,Boeuf Bourguignonne- beef stewed in wine,680,Welsh Food,Non-Vegetarian,450
88,"Budweiser, Anheuser, Busch",483,Polish Food,Vegetarian,700
89,Shoestring,687,Tibetan Food,Non-Vegetarian,720
90,"Chablis (White), C. Marley & Liger Belair",724,Mormon Food,Non-Vegetarian,170
91,Duckling a L'Orange,448,German Food,Vegetarian,120
92,"Paron Diana, bakad med mandel, serverat med romgradde",581,Chinese Food,Non-Vegetarian,440
93,Gran FRITTO DI MISTO MARE,252,Peruvian Food,Vegetarian,760
94,Steaks with bacon (extra),597,Italian Food,Vegetarian,180
95,"Rice, with fruit sauce and cream",613,Nigerian Food,Vegetarian,640
96,"Lobster a la Newburg, Casserolettes",402,Canadian Food,Non-Vegetarian,340
97,"Sweetbreads, Cavour",716,Indian Food,Non-Vegetarian,790
98,Glaces moulies,531,Nigerian Food,Vegetarian,620
99,"Neapolitan, chocolate",551,Haitian Food,Vegetarian,500
100,Suppe a la Coelestine.,300,British Food,Vegetarian,190
101,"Gingerale, C & C",378,American Food,Non-Vegetarian,620
102,Haricot Ox Tail. ,149,German Food,Vegetarian,410
103,BEER: Eastern,601,Kenyan Food,Vegetarian,750
104,"PASTA SALAD. Fresh spiral pasta combined with broccoli, carrots, cauliflower, garden peas, and zucchini delicately blended with a creamy parmesan vinaigrette dressing",576,Hawaiian Food,Non-Vegetarian,380
105,Fried Eggs with Bacon and Cheese on a Kaiser Roll,629,Kenyan Food,Vegetarian,240
106,"Seezunge in Butter gebraten, mit Mayonnaisensalat",167,Italian Food,Vegetarian,750
107,"Rhine Wine, Deidesheimer (Deinhard & Co.)",669,Tibetan Food,Vegetarian,450
108,large pitcher of cream,517,Turkish Food,Non-Vegetarian,610
109,Dundee Roll,563,Irish Food,Non-Vegetarian,320
110,Fresh Shrimp Cocktail a la Coopers,116,Peruvian Food,Non-Vegetarian,540
111,"Spring duckling, whole  half",291,Spanish Food,Vegetarian,690
112,"Salade de saison assortie, oeuf et lardon",721,Belgian Foods,Vegetarian,770
113,*Broiled chicken (*Portion for two),550,Tahitian Food,Vegetarian,350
114,TOMATO AND ONIONS,86,American Food,Vegetarian,470
115,"Duckling Croquette, Clamart",306,Belgian Foods,Non-Vegetarian,120
116,"Potatoes, boiled [1]",114,Chinese Food,Vegetarian,130
117,"Brochette de ris de veau et jambon de Virginia, points d'asperege a la creme",631,Hawaiian Food,Non-Vegetarian,330
118,"Sherbet, Roman punch",420,Belgian Foods,Vegetarian,760
119,"Broiled Lamb Chops, Mint Sauce (16 oz.)",711,Russian Food,Non-Vegetarian,540
120,Claret (California wines),435,Mexican Food,Non-Vegetarian,650
121,"Bowl of Chili Red or Green, with tortilla or sopaipilla",1,Turkish Food,Vegetarian,550
122,Pigeons a la Marengo,319,Tahitian Food,Vegetarian,660
123,"Sliced Bananas, Cream",14,German Food,Non-Vegetarian,280
124,Kondrauer Sprudl,507,Mormon Food,Non-Vegetarian,170
125,Hors d'Oeuvres au Choix     ,178,Hawaiian Food,Non-Vegetarian,390
126,"Two Thick Broiled Loin Lamb Chops Fresh Green Peas, French Fried Potatoes and Chef Salad Bowl",248,Welsh Food,Vegetarian,140
127,ATJAR,278,Cajun Food,Non-Vegetarian,420
128,Gilka Kummel cordial,568,British Food,Non-Vegetarian,750
129,Potatoes collerettes,465,Tibetan Food,Non-Vegetarian,360
130,"Leg of Lamb Roti, Currant Jelly",187,Libyan Food,Vegetarian,140
131,"Cold Sliced Chicken, Sliced Tomatoes",220,German Food,Vegetarian,180
132,camberent,230,Turkish Food,Vegetarian,460
133,Yuengling's American Porter,216,Belgian Foods,Vegetarian,650
134,"Fried Breast of Spring Lamb, Robert sauce",655,Indian Food,Vegetarian,590
135,"Spring chicken, Maryland style, half",504,Portuguese Food,Non-Vegetarian,170
136,"Ruinart Extra Quality Dry, '93 (Champagne)",125,Welsh Food,Non-Vegetarian,610
137,Cape Cod cocktail,6,Swedish Food,Vegetarian,350
138,Home-made pumpkin pie,188,Canadian Food,Vegetarian,630
139,Hausgebeizter Lachs mit Dilljoghurt und Wachteleiern,445,Kenyan Food,Non-Vegetarian,190
140,Oyster à la bordelaise,11,Mexican Food,Non-Vegetarian,620
141,Noisette of Beef a vez,339,Brazilian Food,Vegetarian,170
142,->Dessert.,629,Nigerian Food,Vegetarian,300
143,Salat v. fr. Salm m. Champignons (am Tisch zubereitet),634,Algerian Food,Non-Vegetarian,300
144,Fruits and Cheese,62,Turkish Food,Vegetarian,590
145,Medaillon de filet de boeuf,563,British Food,Vegetarian,310
146,Rollchen vom Milchkalbstuck,404,French Food,Non-Vegetarian,340
147,Port du Salut or Camembert,420,Korean Food,Non-Vegetarian,130
148,Mango,402,Mexican Food,Non-Vegetarian,200
149,"Assorted Cheeses: American, Swiss, Gruyere, Roquefort, Camembert, Blue Cheese",576,Swedish Food,Vegetarian,590
150,"Le Domaine, Extra Dry",64,Japanese Food,Vegetarian,600
151,Tomato Surprise or Vernon,522,Scottish Food,Non-Vegetarian,420
152,Surprise de sorbet au chapon du Pilgrim,575,Chinese Food,Vegetarian,560
153,Special Chicken Soup,384,Polish Food,Non-Vegetarian,790
154,Water Wafers.,197,Algerian Food,Vegetarian,690
155,Baked Sugar Cured York Ham,573,German Food,Vegetarian,270
156,Hungarian Goulash with Spaetzle,226,Italian Food,Vegetarian,470
157,Golden Corn,720,Portuguese Food,Non-Vegetarian,470
158,roast turkey - cranberry sauce,477,Mexican Food,Non-Vegetarian,460
159,"Cocktails, Whiskey, Drink",432,Latvian Food,Non-Vegetarian,420
160,"Bordelaise Sauce, per person",244,Latvian Food,Non-Vegetarian,380
161,MARROW DUMPLING SOUP  FINE MARROW DUMPLING IN CLEAR CONSOMME,350,Turkish Food,Non-Vegetarian,180
162,"Cold roastbeef, sce tartare, various salads",16,Egyptian Food,Non-Vegetarian,240
163,"Tenderloin Steak with Onions, extra",15,German Food,Vegetarian,720
164,cold corned beef,177,Indian Food,Vegetarian,650
165,Sliced cucumbers and new onions,192,Cuban Food,Non-Vegetarian,690
166,Spaghetti au Gatin,607,Egyptian Food,Non-Vegetarian,500
167,Donau-Schill mit Eiertunke,491,Algerian Food,Non-Vegetarian,380
168,"Le Poulet du Surrey au Cresson 14/6, l'Aile 21/-",168,Nigerian Food,Non-Vegetarian,390
169,"SAUTE OF VEAL, with Green Peas, 40",95,Jewish Food,Vegetarian,190
170,Bouillon mit Ei oder mit Rindfleisch,160,Egyptian Food,Vegetarian,190
171,Tel: 069-285182,224,Jewish Food,Non-Vegetarian,770
172,Veal Scaloppini with a Calvados Sauce,610,Haitian Food,Non-Vegetarian,440
173,"Swiss cheese, Served with Crackers",267,German Food,Vegetarian,500
174,"Soda Water, Split",484,Tahitian Food,Vegetarian,680
175,"Roast Grouse, Bread Sauce & Chips",218,Japanese Food,Vegetarian,430
176,French Cream Cake,670,Kenyan Food,Non-Vegetarian,730
177,"Sweet Breads, with French Peas",344,Salvadorian Food,Non-Vegetarian,390
178,Spezialtopf Warschau,64,Portuguese Food,Vegetarian,150
179,Chocolat Parfait,404,Greek Food,Vegetarian,240
180,Colares Reserva Tavares 1937,313,French Food,Vegetarian,480
181,Fried Egg-Plants a l'Anglaise,514,Swedish Food,Non-Vegetarian,680
182,"Cigarettes, Francaises, Gauloises jaunes Maryland (Regie)",223,Spanish Food,Vegetarian,260
183,POULET DE GRAIN DE PHILADELPHIE ROTI AU CRESSON,227,Egyptian Food,Non-Vegetarian,690
184,Chateau Siran (Margaux) 1970,32,Jewish Food,Non-Vegetarian,520
185,Mignardise Moscovite,734,Egyptian Food,Non-Vegetarian,460
186,Ale (Domestic),629,Polish Food,Vegetarian,360
187,TOLL HOUSE COOKIE PIE - The Magic of Toll House Cookies made into a Wonderful Pie. Lethal Whipped Cream provides the Coup de Grace! Exquisite Torture!,727,Haitian Food,Non-Vegetarian,510
188,"Salad: Marianne (Celery, Peppers, Beetroots, Tomatoes)",261,Mexican Food,Vegetarian,570
189,"Hummer-Koteletten, Kalte Senfsauce",612,Chinese Food,Non-Vegetarian,350
190,"Game in season, grilled",602,Turkish Food,Vegetarian,310
191,Acorn Squash Puree,419,Nigerian Food,Non-Vegetarian,230
192,Salmon Yamato,354,Spanish Food,Non-Vegetarian,540
193,Sorbet Saint David,15,Egyptian Food,Vegetarian,490
194,BOEUF à LA MODE,124,Mormon Food,Vegetarian,150
195,"Damhirschsteak, Rotk., geb. Banane, Champ",119,Salvadorian Food,Vegetarian,320
196,Nürnberger Leberknödel mit Kraut,263,Brazilian Food,Non-Vegetarian,230
197,"Steamed fig pudding, hard and brandy sauce",630,Irish Food,Non-Vegetarian,460
198,"Halff Alligator Pear with Chicken Salad, Mayonnaise",172,Indian Food,Non-Vegetarian,390
199,Orange and romain salad,550,Latvian Food,Non-Vegetarian,700
200,Pommes natures,292,Greek Food,Non-Vegetarian,120
201,"Fresh Vegetable Dinner, Waldorf",468,Italian Food,Vegetarian,230
202,"Fried Fresh Shad, served with Vienna Bread or Tea Biscuits, Butter, and Potatoes",212,Swedish Food,Vegetarian,270
203,"Cereal, Hot or Cold, with Cream",177,Japanese Food,Non-Vegetarian,330
204,Amontilato,451,Tibetan Food,Non-Vegetarian,490
205,Hot Borscht with Sour Cream,241,Mormon Food,Non-Vegetarian,280
206,"Lobster Stewed, Shanley style",587,Portuguese Food,Non-Vegetarian,590
207,Broiled Filet of Yellow Pike,568,Swedish Food,Non-Vegetarian,620
208,New California asparagus (to order),447,British Food,Vegetarian,440
209,Melon glacé,736,Italian Food,Vegetarian,410
210,Cailles sauvages (les 2),440,Korean Food,Vegetarian,320
211,Hot Milk Toast,305,Egyptian Food,Non-Vegetarian,750
212,Corned pork and carrots,345,Algerian Food,Non-Vegetarian,590
213,CLAM CHOWDER BOSTON STYLE,547,French Food,Non-Vegetarian,270
214,Crab Ravigote  salad,666,Mexican Food,Non-Vegetarian,380
215,Lowenbrau (Munich),149,Italian Food,Non-Vegetarian,440
216,FRIED POTATOES,705,German Food,Non-Vegetarian,510
217,"Orange, Grapefruit, Pinapple or Sauerkraut Juice",489,Welsh Food,Vegetarian,510
218,"por botella, $2 00 por Champagne.",571,Peruvian Food,Non-Vegetarian,750
219,Cigarettes (Waldorf Egyptian),699,French Food,Non-Vegetarian,610
220,"Dundee Pudding, Sweet Sauce",361,Belgian Foods,Non-Vegetarian,730
221,Red pepper veal steak with dumplings,707,Scottish Food,Vegetarian,520
222,"Omelet (3 Eggs) with Currant Jelly, Strip of Bacon",168,American Food,Vegetarian,650
223,"Macaroni, Lucini",144,Tibetan Food,Non-Vegetarian,140
224,Pikanter Ochsenmaulsalat,413,Haitian Food,Vegetarian,760
225,"Boiled Fowl, Drawn Butter",661,French Food,Vegetarian,750
226,Oxtail with madeira sauce and mashed potatoes,324,British Food,Non-Vegetarian,590
227,Tortue,405,Italian Food,Non-Vegetarian,620
228,"Tenderloin of Beef, Fresh Mushroom Sauce, Stuffed Tomatoes",166,British Food,Vegetarian,650
229,Clams or Oysters on the Half Shell,105,Chinese Food,Non-Vegetarian,410
230,"Junge Erbsen, französische Art",79,Mormon Food,Non-Vegetarian,680
231,Potatoes hashed creamed,491,Algerian Food,Non-Vegetarian,530
232,Liqueurs  - - MARASCHINO,438,Russian Food,Non-Vegetarian,560
233,"pigeonneau de philadelphie a la broche, salade panachee",511,Mormon Food,Vegetarian,430
234,Select Lamb Chops (1); (2),68,Swedish Food,Non-Vegetarian,400
235,Potage Semoule,438,Tahitian Food,Non-Vegetarian,160
236,Relish - Chow Chow,729,Irish Food,Non-Vegetarian,160
237,"*Beef, Horseradish Sauce",433,Cuban Food,Vegetarian,260
238,"Fried Chicken with cream sauce, French Fried Potatoes, Buttered Peas",532,Jewish Food,Non-Vegetarian,710
239,Les Oeufs en Cocotte a la Creme,377,Belgian Foods,Non-Vegetarian,180
240,Franciskaner-Brödchen (illistrirt),143,Belgian Foods,Non-Vegetarian,190
241,Tokayi Imperial,664,Indian Food,Non-Vegetarian,320
242,Liqueurs Drambuie,74,Cuban Food,Vegetarian,270
243,"John Jameson, Irish XXX Whiskey",234,Egyptian Food,Non-Vegetarian,260
244,Faisans rôtis ,331,Mormon Food,Non-Vegetarian,450
245,Panache Bavaroise,245,Peruvian Food,Non-Vegetarian,480
246,"Broiled pig's feet, Lyonnaise potatoes",561,Libyan Food,Non-Vegetarian,580
247,BLACK RASPBERRY VANILLA ICE CREAM,379,Algerian Food,Vegetarian,430
248,"Great Western, Brut",412,Indian Food,Vegetarian,540
249,BAKED FILET OF SOLE stuffed with crabmeat and scallops served with potatoes and vegetable,119,Irish Food,Vegetarian,780
250,Benedictine D. O. M ,692,British Food,Vegetarian,480
251,"White Wine: Liebraumilch, Vintage, Imported- semi-dry with wonderful softness",532,Polish Food,Vegetarian,200
252,Scampi Cocktail,236,Portuguese Food,Non-Vegetarian,630
253,Kessler Extra Cuvee,290,Libyan Food,Non-Vegetarian,220
254,Mixed Salad a la Francaise,13,Tibetan Food,Non-Vegetarian,450
255,Asparagus with Butter Sauce,679,Salvadorian Food,Non-Vegetarian,490
256,"Poland, 1/2 Bot., Bot",524,Cuban Food,Non-Vegetarian,430
257,Apelsin,278,Libyan Food,Non-Vegetarian,300
258,Breast of Guinea Hen Marie Antoinette,206,Portuguese Food,Vegetarian,590
259,"Omelet with salt pork, potatoes and onions, Paysanne",543,Cuban Food,Vegetarian,560
260,Saumon Fume: Smoked Salmon,293,Latvian Food,Vegetarian,190
261,Port Wine Sangree,736,Brazilian Food,Non-Vegetarian,310
262,"Frozen Roll,Strawberry Sauce",246,Chinese Food,Non-Vegetarian,150
263,Light Layer Cake,549,Belgian Foods,Vegetarian,520
264,"Imported Sardines, Sliced Peeled Tomatoes",91,French Food,Vegetarian,670
265,Table Celery,196,American Food,Non-Vegetarian,270
266,Green Beans Persille,201,Thai Food,Non-Vegetarian,540
267,Grape Catsup,148,Hawaiian Food,Vegetarian,290
268,"Minced little neck clams, Duchesse",384,Libyan Food,Vegetarian,540
269,Globi-Teller Kleines paniertes Schweinsschnitzel mit grunen Bohnen und Pommes frites,13,Egyptian Food,Non-Vegetarian,360
270,Rice Pudding,145,Swedish Food,Vegetarian,400
271,Old Tawny,422,Hawaiian Food,Non-Vegetarian,640
272,""" chops with peas",155,Canadian Food,Non-Vegetarian,470
273,Tomaten Salate,726,Turkish Food,Non-Vegetarian,580
274,Flaskfile Princesse,656,French Food,Non-Vegetarian,410
275,Cold Jelly Roll Pudding,613,Cuban Food,Vegetarian,550
276,Hearts of Celery Roquefort,185,Greek Food,Non-Vegetarian,470
277,"Sercial Madeira, imported in 1818, from Gordon, Duff, Inglis & Co. by J.D. & M. Williams",588,Portuguese Food,Vegetarian,590
278,"Le Clams Chowder ""Deux Cultures""",655,Scottish Food,Non-Vegetarian,340
279,"Cutlet of venison, Port wine sauce",419,German Food,Vegetarian,620
280,Geo. Goulet (Extra Quality Dry) Champagne,196,Canadian Food,Non-Vegetarian,650
281,*Sa-Cha Beef,659,Spanish Food,Vegetarian,760
282,"Chicken Croquettes, Aux Petits Pois",125,Portuguese Food,Non-Vegetarian,650
283,THE CHEESE CROCK with Crackers (per person,637,Algerian Food,Non-Vegetarian,290
284,Potatoes Persillade Parisienne,507,Belgian Foods,Non-Vegetarian,510
285,"Oysters, Raw on half shell",585,Kenyan Food,Non-Vegetarian,340
286,"AFTERNOON TEA (Waffles, etc.)",341,Welsh Food,Non-Vegetarian,310
287,"English Mutton Chops, Bassano",495,British Food,Vegetarian,130
288,Celery Shrub au demi glace,430,British Food,Vegetarian,740
289,Pommery Sec (champagne),501,Korean Food,Vegetarian,240
290,"Espetada de Vaca a ""Omar Pasha""",35,Turkish Food,Vegetarian,680
291,Mirabellen (eingemachte),262,Brazilian Food,Vegetarian,340
292,bone sirloing steak with fried spanish onions,16,Mormon Food,Non-Vegetarian,670
293,"Two Vegetables, Hot Rolls",717,Italian Food,Vegetarian,600
294,"Sparkling Burgundy, Cresta Blanca",84,German Food,Non-Vegetarian,560
295,"Broiled Savannah Shad with Roe, Maitre D'Hotel",198,Greek Food,Vegetarian,790
296,"1/4 l Export, dunkel",522,Belgian Foods,Vegetarian,210
297,Domestic: Liederkranz,492,Cuban Food,Non-Vegetarian,780
298,Cocktail au melon,355,Irish Food,Non-Vegetarian,570
299,"Bass's Ale, Dog's Head Brand",311,French Food,Non-Vegetarian,650
300,Turtle-Pie a la Rothschild,704,Russian Food,Non-Vegetarian,580
301,Very Old Rye Whiskey (Private Stock),557,Belgian Foods,Non-Vegetarian,180
302,"Boiled beef, horseradish sauce, bouillon potatoes, dill pickle",115,Welsh Food,Non-Vegetarian,360
303,Veal Cutlets with Tomatoes,450,Kenyan Food,Vegetarian,560
304,BUKWHEAT & CEARELINE GRIDDLE CAKE,506,Welsh Food,Vegetarian,610
305,Chilled Fruit Salad,459,Mexican Food,Non-Vegetarian,250
306,pork chops with apple sauce,80,Russian Food,Non-Vegetarian,660
307,Mount Vernon Rye (13 Years Old),547,Mexican Food,Vegetarian,660
308,Dopeaza,35,Belgian Foods,Non-Vegetarian,200
309,"Chicken, rice",118,Haitian Food,Vegetarian,720
310,Filet of Beef En Casserole Mascotte,634,Canadian Food,Vegetarian,360
311,"Omelette, with confiture",348,Egyptian Food,Vegetarian,580
312,Potatoes--Boiled Bermuda,623,Irish Food,Vegetarian,280
313,Saumon et Anguille Fume,232,Haitian Food,Non-Vegetarian,360
314,CHEF'S COMBINATION SALAD,99,Cuban Food,Non-Vegetarian,250
315,Baked Runner Fish au Madere,467,Nigerian Food,Non-Vegetarian,320
316,Fegato di Vitello alla Veneziana,88,German Food,Vegetarian,480
317,"Rumpsteak mit Artischockenboden und Tomaten, grune Bohnen, pommes frites",290,Belgian Foods,Non-Vegetarian,320
318,"Burgundy: Macon, D.V. & Co.",330,Italian Food,Non-Vegetarian,430
319,PETITS POIS FRAIS,151,Algerian Food,Vegetarian,680
320,KAVIA MALOSOL SUR SOCLE ALA RUSSE,604,Nigerian Food,Non-Vegetarian,650
321,"Eggs, Scrambled (3) with Ham",670,Kenyan Food,Non-Vegetarian,310
322,Vanilla Ice Cream with Crushed Fresh Berries (in Season),491,Cajun Food,Vegetarian,250
323,Kraftbruhe mit Tomaten,669,French Food,Vegetarian,700
324,Schwabische Nudelsuppe,703,Brazilian Food,Vegetarian,250
325,Breast of Chicken Parmigiani,594,Irish Food,Vegetarian,630
326,Huevos al gusto,666,Korean Food,Vegetarian,290
327,"London Broil, served with fresh vegetables in season",457,Salvadorian Food,Vegetarian,720
328,"Tokayer Ausbruch Cabinet, 1860",650,Latvian Food,Non-Vegetarian,740
329,Hochheim 1895,451,Haitian Food,Non-Vegetarian,320
330,Boiled Tongue and Spinach,89,Thai Food,Non-Vegetarian,390
331,Muslin Potatoes,111,Hawaiian Food,Non-Vegetarian,630
332,Gin,461,Hawaiian Food,Non-Vegetarian,610
333,"Omelet, with Asparagus",86,Japanese Food,Non-Vegetarian,310
334,Birnen Compotte,431,Haitian Food,Non-Vegetarian,230
335,Platzl-Bratwurst mit Kartoffelbrei und Blaukraut,62,Irish Food,Vegetarian,410
336,Filets de barbue Dieppoise,632,Tahitian Food,Vegetarian,690
337,"FILET OF SOLE SAUTE, Fresh String Beans and Parsley Potatoes",686,Cuban Food,Vegetarian,510
338,"Paysanne soup, Bretonne ",452,Nigerian Food,Vegetarian,790
339,Garden vegetables and sausage crepe,303,Tahitian Food,Vegetarian,450
340,"jelly tarts, 2 for",635,Mexican Food,Non-Vegetarian,460
341,Prinzessbohnen in Butter,121,Cuban Food,Vegetarian,690
342,Chablis Superieur,589,Hawaiian Food,Vegetarian,560
343,half canette (beer),480,Belgian Foods,Vegetarian,470
344,Deviled Crab (Fresh Hourly),55,Swedish Food,Vegetarian,220
345,Jungle Tea,536,Greek Food,Vegetarian,400
346,Amandes et Raisins,252,Tahitian Food,Non-Vegetarian,530
347,"Poulet saute, Marengo",443,Spanish Food,Vegetarian,630
348,"Beef Bourguignonne, filet mignon saute with fresh mushrooms, blended with herbs and Beaujolais wine and served en casserole, topped with french fried onion rings ",241,Portuguese Food,Non-Vegetarian,440
349,"Beef Kabob Dinner, Tasty Chunks of Sirloin on a Skewer - Charcoal Broiled - Baked Potato and Salad ",424,German Food,Vegetarian,530
350,Sweetbreads a la Turque,736,Swedish Food,Non-Vegetarian,210
351,Scheibe Brot*,54,Kenyan Food,Non-Vegetarian,350
352,"Partridge braise, celery sauce",724,Jewish Food,Vegetarian,680
353,"GUINEA HENS WITH LETTUCE, French Dressing",460,Turkish Food,Vegetarian,500
354,Creamed Kernel Corn and Peas,285,German Food,Non-Vegetarian,590
355,"Salad, Twentieth Century",62,Irish Food,Vegetarian,480
356,SUCKLING PIG AND APPLE SAUCE,451,Salvadorian Food,Non-Vegetarian,440
357,"Cassolette of lobster, Ottero",591,Turkish Food,Non-Vegetarian,370
