id,restaurantName,contactNumber,address,ratingOutOf5,restType,orderOnline,bookTable,locality,votes
42,Cold Stone Creamery,080 67922488,"3, Third Floor, Vega City Mall, Bannerghatta Road, Bangalore",3.9/5,Dessert Parlor,Yes,No,Bannerghatta Road,99
43,Hyderabadi Bawarchi,"+91 7829488222
+91 7829588222","633/B555, Panduranga Nagar, Near Arekere Gate, Bannerghatta Road, Bangalore",3.2/5,Casual Dining,Yes,No,Bannerghatta Road,133
44,Cafe Vivacity,"080 26768182
+91 9845704455","2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",3.8/5,Cafe,Yes,No,Banashankari,90
45,Grand Village,"+91 8026612447
+91 9901210005","10, 3rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, Bangalore",3.8/5,Casual Dining,No,No,Banashankari,166
46,Ruh's Cafe,"+91 9986271611
+91 9844803695","294, 4th Floor, 7th Main, 7th Cross, Mico Employees Griha Nirmana Sangha Layout, 2nd Stage, BTM, Bangalore",4.1/5,Cafe,Yes,No,Bannerghatta Road,463
47,Biggies Burger 'n' More,"+91 9972972950
+91 9663729632","173, DSI college Road, Kumaraswamy Layout, Bangalore",3.6/5,Quick Bites,Yes,No,Banashankari,58
48,Bottle Breacher,+91 9482512009,"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",4.1/5,"Casual Dining, Pub",No,Yes,Bannerghatta Road,1187
49,Cafe Vivacity,"080 26768182
+91 9845704455","2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",3.8/5,Cafe,Yes,No,Banashankari,90
50,Bawarchi Inn,"+91 8197022223
+91 9032216666","1, 1st Floor, BTM Complex, 9th Main Road, 1st Stage, BTM, Bangalore",3.1/5,Casual Dining,Yes,No,Bannerghatta Road,140
51,My Tea House,"080 65975430
+91 7337733798","224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",3.6/5,"Quick Bites, Cafe",Yes,No,Banashankari,62
52,Pallavi North Indian Veg Restaurant,"080 42085558
+91 9066707459","26, 16th Cross, 5th Phase, 100ft Ring Road, Opposie Canara Bank, JP Nagar, Bangalore",3.7/5,Casual Dining,Yes,No,Bannerghatta Road,243
53,Tongue Twisters,+91 9902629650,"10, Near Post Office, 16th Main Rd, Mahadeshwara Nagar, 2nd Stage, BTM, Bangalore",3.5/5,Quick Bites,Yes,No,Bannerghatta Road,283
54,Ma-Arya Family Restaurant,"080 26601211
+91 9620007561","186, Datta Complex, 1st Floor, Next To Flower Market Gandhi Bazar, Basavanagudi, Bangalore",3.7/5,Casual Dining,No,No,Banashankari,61
55,Coconut Grove,"080 48146882
+91 9945058354","296, 100 Feet Ring Road, 5th Phase, JP Nagar, Bangalore",3.4/5,"Casual Dining, Bar",No,No,Bannerghatta Road,97
56,World on a Swirl,+91 9986075232,"Mahadheshwara Swami Nilaya, 1/2, 1st Floor, DLF Circle Main Road, Near Akshaynagar, Yelenahalli, Bannerghatta Road, Bangalore",3.8/5,"Dessert Parlor, Quick Bites",No,No,Bannerghatta Road,46
57,Steaming Mugs,"+91 9341234538
+91 9886414790","166/A 2nd Floor, R.V Road, Above DTDC Office, V.V Puram, Near Minerva Circle, Basavanagudi, Bangalore",3.9/5,Cafe,Yes,No,Banashankari,240
58,Andhra Grills,"+91 9844392143
+91 9739188800","114/512, Kothanur Main Road, 7th Phase, JP Nagar, Bangalore",3.0/5,Casual Dining,No,No,Bannerghatta Road,55
59,Redberrys,+91 9148421256,"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",4.0/5,Cafe,Yes,No,Banashankari,219
60,More Pizza,"+91 9611111141
080 42229996","Ground Floor, 21, Krishnama Raju Layout, Near Oracle Dorasani Palya, JP Nagar, Bangalore",3.8/5,Quick Bites,Yes,No,Bannerghatta Road,46
61,Sea Spice by 7 Star,080 49653393,"1890, Shetty Gardenia, 9th Main, Kaverinagar, 2nd Stage, Banashankari, Bangalore",4.0/5,Casual Dining,Yes,Yes,Banashankari,349
62,Beijing Bites,"080 42068388
080 42068488","186, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",2.7/5,Casual Dining,No,No,Banashankari,128
63,Kidambi's Kitchen,"080 42112211
+91 9880412211","2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, Bangalore",3.5/5,Quick Bites,No,No,Banashankari,52
64,Cafe Shuffle,+91 9742166777,"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",4.2/5,Cafe,Yes,Yes,Banashankari,150
65,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,"080 26724489
+91 7406048982","12,29 Near PES University Back Gate, D'Souza Nagar, Hosakerehalli, 3rd Stage, Banashankari, Bangalore",4.1/5,Cafe,Yes,No,Banashankari,402
66,Guru Garden,"080 26583972
080 41503389","197, Next to Reliance Mart, Opposite Accenture, Hulimaavu, Bannerghatta Road, Bangalore",2.9/5,Casual Dining,No,No,Bannerghatta Road,106
67,SLV Corner Restaurant,080 49653234,"42, Vani Vilas Road, Ramakrishna Ashrama Circle, Basavanagudi, Bangalore",4.1/5,Casual Dining,Yes,No,Banashankari,364
68,On The Nose,"080 42008978
+91 9886625960","268, 6th Main, 2nd Stage, BTM, Bangalore",3.8/5,Cafe,Yes,No,Bannerghatta Road,613
69,Guru Garden,"080 26583972
080 41503389","197, Next to Reliance Mart, Opposite Accenture, Hulimaavu, Bannerghatta Road, Bangalore",2.9/5,Casual Dining,No,No,Bannerghatta Road,106
70,Danapani,080 42350950,"1-8, RBI Layout, 7th Phase, JP Nagar, Bangalore",3.8/5,Casual Dining,No,No,Bannerghatta Road,59
71,Bathinda Junction,+91 9740701619,"36, 29th Main Road, Mahadeshwara Nagar, Stage 2, BTM, Bangalore",3.9/5,Casual Dining,Yes,No,Bannerghatta Road,362
72,Twiststick House,+91 9916538249,"97, Opposite Jain College, Kavi Lakshmisha Road, VV Puram, Basavanagudi, Bangalore",4.1/5,Quick Bites,Yes,No,Banashankari,163
73,Hunger Bee,"+91 7337613999
+91 7338032999","3rd Floor, 5, 3 Road Cross, DLF Main Road, Bannerghatta Road, Bangalore",3.8/5,Quick Bites,Yes,No,Bannerghatta Road,54
74,Deja Vu Resto Bar,+91 9632499855,"5th Floor, Gopalan Innovation Mall, Bannerghatta Road, Bangalore",4.4/5,Pub,Yes,Yes,Bannerghatta Road,2487
75,Hyderabad Biryaani House,"+91 9845699901
+91 9986438789","Arakere Gate, Next to HSBC, Opposite Reliance Mart, Bannerghatta Road, Bangalore",3.6/5,Casual Dining,Yes,No,Bannerghatta Road,796
76,Spice Up,"080 26582546
080 32931154","228/A, 9th Main, K.S.R.T.C Layout, 2nd Phase, JP Nagar, Bangalore",3.8/5,Casual Dining,Yes,No,Bannerghatta Road,146
77,Aramane Restaurant,+91 8043027998,"154/9, Bannerghatta Main Rd",2.9/5,Casual Dining,Yes,Yes,Bannerghatta Road,90
78,Chicken Man,+91 8042005011,"296, Ground Floor, 5th Phase, 100 Feet Outer Ring Road, JP Nagar, Bangalore",3.8/5,Quick Bites,Yes,Yes,Bannerghatta Road,72
79,The Airos,+91 7026390001,"22, 2nd Main Road, National College Road, 7th Block, Jayanagar, Bangalore",4.1/5,Cafe,Yes,No,Banashankari,130
80,Gama Gama,"+91 9739946098
+91 9538433344","17, Ground Floor, Near Big Bazar, 100 Feet Ring Road, 3rd Stage, Banashankari, Bangalore",3.9/5,Quick Bites,Yes,No,Banashankari,264
81,Fat Chef Biryani Wale,"+91 9986712348
+91 9980902935","Bannerghatta Road, Bangalore",3.3/5,"Takeaway, Delivery",Yes,No,Bannerghatta Road,28
82,Kollapuri's,080 41205839,"1, Corporation Market, Gandhi Bazar, Basavanagudi, Bangalore",3.9/5,Quick Bites,No,No,Banashankari,206
83,RS Shiv Sagar,"080 26604686
080 26600115","5, Mallariah Complex, Near Corporation Bank, Gandhi Nagar, Basavanagudi, Bangalore",3.7/5,Casual Dining,No,No,Banashankari,217
84,BANGALORE BOX,"+91 9901402636
+91 8049577779","934, 1st Block, 4th Stage, DC Halli, BG Road, BTM, Bangalore",4.2/5,"Casual Dining, Bar",Yes,Yes,Bannerghatta Road,611
85,McDonald's,080 66000666,"63, Ground Floor, Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",4.0/5,Quick Bites,Yes,No,Bannerghatta Road,256
86,Status,080 26490166,"70/71, Seetharam Complex, Bilekahalli, Bannerghatta Main Road, Bannerghatta Road, Bangalore",3.2/5,Casual Dining,Yes,No,Bannerghatta Road,66
87,Chung Wah Opus,"080 65788688
080 65788588","55, 4th Floor, 15th Cross, 19th Main, 2nd Phase, JP Nagar, Bangalore",3.0/5,Casual Dining,Yes,No,Bannerghatta Road,57
88,Pizza Hut,080 39883988,"311, 15th Cross, 5th Phase, JP Nagar, Bangalore",2.7/5,Quick Bites,Yes,No,Bannerghatta Road,159
89,Desi Wok,"+91 9620133223
+91 9620033223","251/1009, Near Vijaya Bank Layout, Bilekahalli, 4th Stage, BTM, Bangalore",2.7/5,Quick Bites,No,No,Bannerghatta Road,76
90,Woodee Pizza,+91 7406827272,"305, Anand NR Onyx, 15th Cross, 100 Feet Ring Road, 5th Phase Extension, JP Nagar, Bangalore",2.7/5,Cafe,Yes,No,Bannerghatta Road,85
91,Barbeque Nation,+91 8064806060,"67, 15th Cross, 6th B Main, JP Nagar, Bangalore",4.7/5,Casual Dining,No,Yes,Bannerghatta Road,3844
92,La Grande Cafe,+91 9845525205,"321, 36th A Cross, 7th Main, 5th Block, Jayanagar, Bangalore",3.8/5,Cafe,No,No,Basavanagudi,46
93,Tandoori Knight,"+91 9035297404
+91 9731504721","34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",3.0/5,Quick Bites,Yes,No,Banashankari,290
94,Bangalir Rannaghar,+91 7337618151,"DLF City Road, Near Sai Baba Temple, Arekere, Bannerghatta Road, Bangalore",2.9/5,Quick Bites,No,No,Bannerghatta Road,58
95,The Foodyz,"+91 9380002058
+91 8043759660","Beside Axis Bank ATM, 2nd Cross Road, Puttenahalli Rd, 6th Phase, JP Nagar, Bangalore",3.7/5,Quick Bites,Yes,No,Bannerghatta Road,42
96,Roving Feast,"080 42024092
080 42274242","78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",4.0/5,Quick Bites,No,No,Banashankari,1047
97,Kesariya,080 49653516,"55, Goenka Chambers, Jeevan Griha Colony, 19th Main, Phase 2, JP Nagar, Bangalore",4.2/5,Casual Dining,No,Yes,Bannerghatta Road,1212
98,Chatar Patar,+91 7619353103,"24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore",3.7/5,Quick Bites,No,No,Banashankari,65
99,Kirthi's Biryani,"080 26711554
+91 9741406338","405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",3.8/5,Cafe,Yes,No,Banashankari,144
100,The Caramelts Cafe,080 26544799,"Opposite Vijaya Junior College, 14th Main, 30th Cross, Jayanagar, Bangalore",4.2/5,Cafe,No,No,Basavanagudi,223
101,Night Panda,"+91 9066783118
080 41123861","487, Ground Floor, 16th Cross, 4th Phase, JP Nagar, Bangalore",2.9/5,"Takeaway, Delivery",No,No,Bannerghatta Road,39
102,Rajathadri Food Fort,"080 26539798
+91 7619201123","19/49, Near National College, 2nd Main, 31st Cross, 7th Block, Jayanagar, Bangalore",4.0/5,Casual Dining,Yes,No,Banashankari,465
103,Pizza Hut,"080 39883988
080 26799999","14, 100 Feet Ring Road, 6th Block, 3rd Stage, Banashankari, Bangalore",3.7/5,Casual Dining,Yes,No,Banashankari,405
104,Mast Kalandar,"080 42192828
080 42192829","19, Jalaram Industrial Estate, Opposite Food World, Arakere Gate, Bannerghatta Road, Bangalore",2.4/5,Delivery,No,No,Bannerghatta Road,183
105,Roti Ghar,"080 26629734
+91 9880141967","17, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",3.9/5,Casual Dining,Yes,No,Banashankari,750
106,Vinaya Coffee Moments,"+91 9538699211
080 49566825","Someshwara Bhavan, RBI Layout, 7th Phase, Kothnur Main Road, JP Nagar, Bangalore",3.7/5,Cafe,Yes,No,Bannerghatta Road,46
107,Sukh Sagar,080 26634132,"30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, Bangalore",3.8/5,Casual Dining,Yes,No,Banashankari,155
108,Cafe Mondo,080 42088686,"2/2, Pattalamma Gudi Street, Armugam Circle, Near South End Circle, Basavanagudi, Bangalore",3.7/5,Cafe,Yes,No,Banashankari,514
109,Kulfi & More,"+91 8095022232
+91 9900091470","427, Ground Floor, 7th Main, 7th Cross, BTM Layout, Bangalore",3.7/5,Dessert Parlor,Yes,No,Bannerghatta Road,46
110,The Pizzeria,"+91 9845154172
+91 9620344606","1112, 30th Main,Teachers Layout, Next to SBI Bank, 3rd Stage, Banashankari, Bangalore",2.8/5,Casual Dining,Yes,No,Banashankari,45
111,Birinz,"+91 8197022223
+91 9141111222","1st Floor, BTM Complex, 9th Main Road, 1st Stage, BTM, Bangalore",4.1/5,Casual Dining,Yes,No,Bannerghatta Road,292
112,Smacznego,"+91 9945230807
+91 9743804471","2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",4.2/5,Cafe,Yes,No,Banashankari,504
113,Tasty Bytes,"+91 8553317408
+91 7899687127","1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore",3.1/5,Quick Bites,Yes,No,Banashankari,245
114,Udupi Grand,"+91 9242115999
+91 9591322733","49, South End Road, Nagasandra Circle, Basavanagudi, Bangalore",3.8/5,Quick Bites,Yes,No,Banashankari,74
115,Desi Cream Junction,"+91 9342943356
+91 9880988500","7th Main Road, 4th Block, Jayanagar East, Bangalore",3.7/5,Casual Dining,Yes,Yes,Banashankari,36
116,Taco Bell,"+91 8448797303
+91 8971535487","Royal Meenakshi Mall, Third Floor, Hulimavu, Bannerghatta Road, Bangalore",3.7/5,Quick Bites,Yes,No,Bannerghatta Road,168
117,New Prashanth Hotel,"080 49569558
+91 8197819686","43/2, 100 Feet Road, Kamakya Complex, 3rd Stage, Banashankari, Bangalore",3.9/5,Casual Dining,Yes,No,Banashankari,388
118,Athithi,"080 41507671
080 41507674","225-226, Above Canara Bank, Arakere Gate, Bannerghatta Road, Bangalore",2.8/5,Casual Dining,No,No,Bannerghatta Road,80
119,Utsav,+91 9632695401,"46, 80 Feet Road, 3rd Stage, Banashankari, Bangalore",3.7/5,Quick Bites,Yes,No,Banashankari,59
120,Redberrys,+91 9148421256,"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",4.0/5,Cafe,Yes,No,Basavanagudi,219
121,Sri Lakshmi Dhaba,"+91 8970548240
+91 9739369901","23, 7th Cross, 2nd Main, NS Palya Main Road, 2nd Stage, BTM, Bangalore",2.9/5,Quick Bites,Yes,No,Bannerghatta Road,255
122,Pizza Mane,+91 9886212159,"9/63, 1st C Main Road, Kathreguppe, Vivekananda Nagar, Banashankri, Bangalore",3.5/5,Quick Bites,Yes,No,Banashankari,32
123,Chung Wah Opus,"080 65788688
080 65788588","55, 4th Floor, 15th Cross, 19th Main, 2nd Phase, JP Nagar, Bangalore",3.0/5,Casual Dining,Yes,No,Bannerghatta Road,57
124,Domino's Pizza,"080 26486401
18602100000","Ground Floor, Gowry's, Next To Vijaya Bank, Arakere Gate, Bannerghatta Road, Bangalore",3.0/5,Quick Bites,Yes,No,Bannerghatta Road,347
125,TAB - Take A Break,"+91 9535133088
+91 9448157110","8, 15th Main, 5th Phase, JP Nagar, Bangalore",4.1/5,Cafe,No,No,Bannerghatta Road,521
126,The Coffee Shack,+91 9731644212,"6th Block, 3rd Stage, Banashankari, Bangalore",4.2/5,Cafe,Yes,Yes,Banashankari,164
127,Kataria's Pakwan,+91 9845089103,"31, 2nd Cross, 1st Stage, Padmanabh Nagar, Kumaraswamy Layout, Bangalore",3.2/5,Quick Bites,Yes,No,Banashankari,96
128,Pizza Hut,"080 39883988
080 26710999","2469, 21st Cross, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",3.8/5,Casual Dining,Yes,No,Banashankari,693
129,The Vintage Cafe,"+91 9880016665
+91 8217311687","146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",3.0/5,Cafe,Yes,No,Banashankari,62
130,Spice Code,"+91 9513699007
+91 9513699006","47/1, 9th Main,1st Cross, Miniforest, Phase 3, JP Nagar, Bangalore",4.0/5,Casual Dining,No,Yes,Bannerghatta Road,165
131,Andhra Grills,"+91 9844392143
+91 9739188800","114/512, Kothanur Main Road, 7th Phase, JP Nagar, Bangalore",3.0/5,Casual Dining,No,No,Bannerghatta Road,55
132,Matru Sagar,+91 9972368854,"Shubashree Complex, 50 Feet Road, 1st Stage, Hanumanthanagar, Near Girinagar, Banashankari, Bangalore",3.6/5,Quick Bites,Yes,No,Banashankari,84
133,Kakal-Kai Ruchi,+91 9448395832,"1/8, Big Baazar, Kothanur Dinne Main Road, 7th Phase, RBI Layout, JP Nagar, Bangalore",3.7/5,Casual Dining,Yes,No,Bannerghatta Road,217
134,Coastal Inn,"080 42117811
+91 9740218147","204, Panduranga Nagar, Opposite HSBC, Bannerghatta Road, Bangalore",3.4/5,Casual Dining,No,No,Bannerghatta Road,66
135,Jalsa,"080 42297555
+91 9743772233","942, 21st Main Road, 2nd Stage, Banashankari, Bangalore",4.1/5,Casual Dining,Yes,Yes,Banashankari,775
136,South Kitchen,+91 9880980009,"1st Main Road, Near Katte Balaga, NR Colony, Basavanagudi, Bangalore",4.3/5,Quick Bites,Yes,No,Banashankari,275
137,Kalingas,080 42038180,"399, 16th Main, N.S Palya, BTM, Bangalore",3.9/5,Quick Bites,Yes,No,Bannerghatta Road,173
138,Malhar Maharashtrian Cuisine,+91 9880082094,"16, Survey Number 13, Omkar Nagar, Arekere, Bannerghatta Road, Bangalore",4.0/5,Casual Dining,Yes,No,Bannerghatta Road,101
139,Le Arabia,+91 8041410082,"15, Bannerghatta Main Road, JP Nagar, Bangalore",NEW,Casual Dining,Yes,No,Bannerghatta Road,0
140,Punjabi Nawabi,"+91 9916713131
+91 9916813131","Shop 9, 1st Floor, SBI Building, New DLF New Town, Opposite Ample Mart, Bannerghatta Road, Bangalore",3.8/5,Quick Bites,Yes,No,Bannerghatta Road,310
141,Anna Kuteera,+91 9620009302,"21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, Bangalore",4.0/5,Casual Dining,Yes,No,Banashankari,771
142,Cafe Shuffle,+91 9742166777,"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",4.2/5,Cafe,Yes,Yes,Banashankari,150
143,Amma's Pastries,+91 9590607750,"7, Near RTO, Opposite Nano Hospital, 80 Feet Road, Bannerghatta Road, Bangalore",4.0/5,Bakery,No,No,Bannerghatta Road,102
144,Dal Tadkaa,"080 26691763
+91 9620138000","1, Kathriguppe Main Road, 3rd Stage, Banashankari, Bangalore",2.5/5,Casual Dining,Yes,No,Banashankari,247
145,24th Main,"+91 9900092563
+91 8722148555","Cross Roads Inn, 827, Near RV Dental College Compound, 24th Main, 12th Cross, JP Nagar, Bangalore",4.1/5,Casual Dining,No,Yes,Bannerghatta Road,1235
146,The Yellow Chilli,080 41712345,"No ? 51 , 11th Main Road, Jayanagar 4 th Block, Bangalore",3.8/5,Casual Dining,Yes,Yes,Basavanagudi,584
147,Gustoes Beer House,080 49653521,"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",4.1/5,Pub,No,No,Banashankari,868
